Source,Target,Type,Label
Khalida jarrar,Administrative detention,Directed,Was ordered imprisoned without charge or trial under
Khalida jarrar,By israeli occupation prison administration,Directed,Was denied family visits
Khalida jarrar,Yafa jarrar,Directed,Free
Khalida jarrar,Palestinian left,Directed,Is activist of
Khalida jarrar,Israeli occupation,Directed,Was arrested by
Khalida jarrar,31 october,Directed,Was arrested on
Khalida jarrar,Samidoun network,Directed,Is related to
Khalida jarrar,Suha jarrar,Directed,Is mother of
Khalida jarrar,Women's rights,Directed,Calls for
Khalida jarrar,Israeli occupying forces,Directed,Detained by
Khalida jarrar,31 october 2019,Directed,Was detained on
Khalida jarrar,24 months in prison,Directed,Was sentenced to
Khalida jarrar,Suha jarrar,Directed,Is mother of
Khalida jarrar,Ghassan and yafa jarrar,Directed,Is daughter of
Khalida jarrar,Al-haq,Directed,Is affiliated with
Khalida jarrar,Immediate and unconditional release,Directed,Is calling for
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,In dignity,Directed,Is expected to mourn
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her late daughter,Directed,Is expected to attend
Khalida jarrar,Funeral of suha jarrar,Directed,Is expected to attend
Khalida jarrar,Funeral of her daughter,Directed,Is expected to attend
Khalida jarrar,Israeli occupation forces,Directed,Was seized by
Khalida jarrar,Israeli occupation forces,Directed,Was arrested by
Khalida jarrar,The palestinian legislative council,Directed,Is a member of
Khalida jarrar,Palestinian leftist,Directed,Is
Khalida jarrar,Feminist parliamentarian,Directed,Is
Khalida jarrar,Israeli occupation forces,Directed,Was arrested by
Khalida jarrar,12 charges,Directed,Faced
Khalida jarrar,June 2016,Directed,Was released in
Khalida jarrar,Leading role,Directed,Resumed
Khalida jarrar,On 2 july 2017,Directed,Was seized
Khalida jarrar,With no charges and no trial,Directed,Was thrown in prison
Khalida jarrar,International mobilization and action,Directed,Urges
Khalida jarrar,By israeli occupation,Directed,Was arrested
Khalida jarrar,By a massively armed occupation force,Directed,Was arrested
Khalida jarrar,To attack palestinian popular movements,Directed,Was arrested
Khalida jarrar,To boycott israel on an international level,Directed,Was arrested
Khalida jarrar,Pre-dawn hours,Directed,Was seized in
Khalida jarrar,Advocate for palestinian prisoners,Directed,Is
Khalida jarrar,Early release,Directed,Was denied
Khalida jarrar,Opportunity,Directed,Was denied
Khalida jarrar,See her daughter's body,Directed,Was denied
Khalida jarrar,Death,Directed,Was denied
Khalida jarrar,Daughter,Directed,Was denied
Khalida jarrar,Palestinian activist,Directed,Was denied
Khalida jarrar,Human rights defender,Directed,Was denied
Khalida jarrar,National political activism,Directed,Arrested for
Khalida jarrar,A leader,Directed,Is
Khalida jarrar,A member of the legislative council,Directed,Is
Khalida jarrar,Imprisoned,Directed,Is
Khalida jarrar,Expected to finish her sentence in two months,Directed,Is
Khalida jarrar,Calling for international pressure for her release,Directed,Is
Khalida jarrar,Palestinian political prisoner,Directed,Is
Khalida jarrar,Political activism,Directed,Arrested for
Khalida jarrar,A palestinian political prisoner,Directed,Is
Khalida jarrar,Her national political activism,Directed,Was arrested for
Khalida jarrar,Two years,Directed,Sentenced to
Khalida jarrar,World march of women in palestine,Directed,Is a member of
Khalida jarrar,Israel,Directed,Jailed by
Khalida jarrar,Political prisoners,Directed,Advocate for
Khalida jarrar,Since july 2017,Directed,Imprisoned without charge
Khalida jarrar,For four more months,Directed,Jailed under administrative detention
Khalida jarrar,Palestinian political leader,Directed,Is
Khalida jarrar,Member of palestinian commission,Directed,Is
Khalida jarrar,Leading organizer,Directed,Is
Khalida jarrar,Palestinian women's organizations,Directed,Coordinates closely with
Khalida jarrar,Palestinian leader,Directed,Is targeted as
Khalida jarrar,Israeli colonial state,Directed,Imprisoned by
Khalida jarrar,Israel,Directed,Jailed by
Khalida jarrar,Jailed by israel,Directed,Palestinian leader
Khalida jarrar,Israel,Directed,Jailed by
Khalida jarrar,Jailed by israel,Directed,Palestinian leader
Khalida jarrar,Israel,Directed,Jailed by
Khalida jarrar,Palestinian,Directed,Leader
Khalida jarrar,Israel,Directed,Jailed by
Khalida jarrar,In administrative detention,Directed,Is held
Khalida jarrar,Was extended,Directed,Administrative detention
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,In solitary confinement,Directed,Is held
Khalida jarrar,In ofer prison,Directed,Is held
Khalida jarrar,For an additional four months,Directed,Is held
Khalida jarrar,Without charge or trial,Directed,Is held
Khalida jarrar,Under administrative detention,Directed,Is held
Khalida jarrar,Imprisoned palestinian political leader,Directed,Is
Khalida jarrar,New letter,Directed,Issued
Khalida jarrar,Letter,Directed,Writes
Khalida jarrar,Damon prison,Directed,Imprisoned in
Khalida jarrar,New letter,Directed,Writes
Khalida jarrar,Immediate release,Directed,Demand
Khalida jarrar,New letter,Directed,Writes
Khalida jarrar,Immediate release,Directed,Demand
Khalida jarrar,New letter,Directed,Writes
Khalida jarrar,Palestine,Directed,Imprisoned leader of
Khalida jarrar,Samidoun,Directed,Imprisoned leader of
Khalida jarrar,Palestinian people,Directed,Imprisoned leader of
Khalida jarrar,Liberation,Directed,Imprisoned leader of
Khalida jarrar,Campaign,Directed,Imprisoned leader of
Khalida jarrar,Free,Directed,Imprisoned leader of
Khalida jarrar,Protest,Directed,Imprisoned leader of
Khalida jarrar,Boycott,Directed,Imprisoned leader of
Khalida jarrar,Israel,Directed,Imprisoned leader of
Khalida jarrar,Government,Directed,Imprisoned leader of
Khalida jarrar,Sanction,Directed,Imprisoned leader of
Khalida jarrar,Aid,Directed,Imprisoned leader of
Khalida jarrar,Weapons,Directed,Imprisoned leader of
Khalida jarrar,Samidoun network,Directed,Imprisoned leader of
Khalida jarrar,Women's rights,Directed,Is a leading activist for
